netCodes	staCodes	stlas	stlos	startDate	endDate	numDays	gapDays	netFlag	staFlag
TT	TATN	32.5787	10.5292	30-May-2010 00:00:00	29-Jun-2013 23:59:59	177	950	3	3
YI	AAIR	-9.9546	33.8955	02-Jan-2010 00:00:00	15-Mar-2010 23:59:59	64	9	3	3
YI	SCH	-10.1757	34.0324	25-Apr-2010 00:00:00	05-May-2010 23:59:59	11	0	3	3
YB	BB32	-28.8146	24.9778	02-Feb-1999 00:00:00	10-Jun-1999 23:59:59	60	69	3	3
YB	BB01	-28.307	24.7542	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB02	-28.3823	24.5885	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB03	-28.408	24.6248	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB04	-28.4045	24.5895	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB05	-28.4412	24.5798	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB06	-28.4521	24.6241	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB07	-28.4161	24.6923	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB08	-28.4285	24.6288	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB09	-28.4494	24.6377	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB10	-28.4494	24.7542	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB11	-28.467	24.5471	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB12	-28.5288	24.7108	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB13	-28.5394	24.7355	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB14	-28.5404	24.6768	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB15	-28.5825	24.8975	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB16	-28.5801	24.539	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB17	-28.5595	24.7077	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB18	-28.6702	24.9376	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB19	-28.602	24.8324	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB20	-28.6327	24.6847	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB21	-28.6256	24.6711	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB22	-28.6306	24.7844	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB23	-28.6453	24.8238	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB24	-28.6427	24.6323	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB25	-28.6718	24.8834	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB26	-28.6718	24.968	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB27	-28.6743	24.5217	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB28	-28.6946	24.5613	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB29	-28.7047	24.8436	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
